num_item_id,definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
40,avion,word,vehicles,0.1,0.08,0,0.55,0.45,0.5,0.73,0.62,0.67,0.83,0.72,0.73,0.91,0.94,0.79
41,bateau,word,vehicles,0.16,0.12,0,0.45,0.42,0.54,0.61,0.66,0.7,0.88,0.75,0.81,0.79,0.91,0.83
42,bus,word,vehicles,0.03,0.04,0,0.09,0.05,0.14,0.34,0.41,0.33,0.36,0.41,0.27,0.47,0.54,0.45
43,camion,word,vehicles,0.03,0.04,0,0.36,0.38,0.39,0.59,0.56,0.59,0.81,0.72,0.81,0.85,0.97,0.79
44,camion de pompier,word,vehicles,0.03,0,0,0,0.02,0.09,0.2,0.18,0.24,0.43,0.28,0.42,0.47,0.63,0.55
45,hélicoptère,word,vehicles,0.01,0,0,0,0.1,0.11,0.29,0.25,0.32,0.29,0.38,0.35,0.47,0.66,0.45
46,moto,word,vehicles,0.09,0.15,0,0.27,0.45,0.48,0.61,0.65,0.6,0.86,0.78,0.77,0.82,0.94,0.83
47,poussette,word,vehicles,0.06,0.15,0,0.55,0.25,0.45,0.46,0.51,0.64,0.76,0.72,0.69,0.94,0.77,0.83
48,tracteur,word,vehicles,0.03,0.08,0,0.55,0.35,0.32,0.41,0.48,0.52,0.64,0.69,0.73,0.59,0.89,0.79
49,train,word,vehicles,0.06,0.04,0,0.36,0.32,0.27,0.49,0.52,0.55,0.67,0.66,0.69,0.68,0.94,0.79
50,traineau,word,vehicles,0,0,0,0,0,0.04,0,0,0.02,0.07,0.06,0,0.09,0.06,0.14
51,tricycle,word,vehicles,0,0,0,0.09,0,0.04,0,0.01,0.08,0.02,0.06,0.04,0.06,0.06,0.21
52,vélo,word,vehicles,0.04,0.08,0,0.45,0.45,0.62,0.63,0.68,0.75,0.83,0.75,0.96,0.88,0.97,0.93
53,voiture,word,vehicles,0.1,0.23,0,0.73,0.42,0.61,0.66,0.66,0.75,0.93,0.84,0.92,0.88,0.91,0.93
54,abeille,word,animals,0.01,0,0,0.18,0.08,0.16,0.2,0.27,0.33,0.38,0.38,0.27,0.5,0.69,0.45
55,agneau,word,animals,0,0,0,0,0.02,0.02,0.05,0.03,0.08,0.07,0.12,0.15,0.18,0.26,0.21
56,âne,word,animals,0.01,0.04,0,0.09,0.22,0.16,0.27,0.35,0.28,0.38,0.38,0.31,0.32,0.57,0.45
