"num_item_id","definition","type","category","8","9","11","12","13","14","15","16"
131,"pomme","word","food_drink",0,0,0,0.04,0.02,0,0.5,0
132,"poulet","word","food_drink",0,0,0,0,0,0,0,0
133,"purée","word","food_drink",0,0,0,0,0.01,0,0,0
134,"raisin","word","food_drink",0,0,0,0,0,0,0,0
135,"soupe","word","food_drink",0,0,0,0,0,0,0,0
136,"spaghetti","word","food_drink",0,0,0,0,0,0,0,0
137,"sucre","word","food_drink",0,0,0,0,0,0,0,0
138,"tartine","word","food_drink",0,0,0,0,0,0,0,0
139,"viande","word","food_drink",0,0,0,0,0,0,0,0
140,"balle","word","toys",0,0,0.07,0,0.05,0.04,0,0
141,"ballon","word","toys",0,0,0.04,0,0.05,0,0,0
142,"bulles","word","toys",0,0,0,0,0,0,0,0
143,"crayon","word","toys",0,0,0,0,0,0,0,0
144,"cube","word","toys",0,0,0,0,0,0,0,0.2
145,"livre","word","toys",0,0,0,0,0.01,0,0,0
146,"poupée","word","toys",0,0,0,0,0.02,0,0,0.2
147,"aïe bobo","word","body_parts",0,0,0,0,0,0,0,0.2
148,"bouche","word","body_parts",0,0,0,0,0,0,0,0
149,"bras","word","body_parts",0,0,0,0,0,0,0,0
150,"cheveux","word","body_parts",0,0,0,0,0.01,0,0,0.2
151,"cœur","word","body_parts",0,0,0,0,0,0,0,0.2
152,"dent","word","body_parts",0,0,0,0,0.01,0,0,0
153,"doigt","word","body_parts",0,0,0,0,0,0,0,0
154,"doigt de pied","word","body_parts",0,0,0,0,0,0,0,0
155,"figure","word","body_parts",0,0,0,0,0,0,0,0
156,"genou","word","body_parts",0,0,0,0,0,0,0,0
157,"jambe","word","body_parts",0,0,0,0,0,0,0,0
158,"joue","word","body_parts",0,0,0,0,0,0,0,0
159,"langue","word","body_parts",0,0,0,0,0,0,0,0
160,"main","word","body_parts",0,0,0,0,0.01,0,0,0.2
161,"nez","word","body_parts",0,0,0,0,0.01,0,0,0.2
162,"nombril","word","body_parts",0,0,0,0,0,0,0,0.2
163,"oreille","word","body_parts",0,0,0,0,0,0,0,0
164,"pied","word","body_parts",0,0,0,0,0.01,0,0,0.4
165,"pouce","word","body_parts",0,0,0,0,0,0,0,0
166,"tête","word","body_parts",0,0,0,0,0.02,0,0,0
167,"ventre","word","body_parts",0,0,0,0,0,0,0,0
168,"yeux","word","body_parts",0,0,0,0,0,0,0,0
169,"bébé","word","people",0,0,0,0,0.06,0.04,0,0.2
170,"dame","word","people",0,0,0,0,0,0,0.5,0
171,"enfant","word","people",0,0,0,0,0,0,0,0
172,"fille","word","people",0,0,0,0,0.07,0.04,0.5,0
173,"frère","word","people",0.02,0,0,0,0.01,0,0,0
174,"garçon","word","people",0,0,0,0,0,0,0,0.2
175,"gens","word","people",0,0,0,0,0,0.04,0,0
176,"grand-mère","word","people",0,0,0,0,0.01,0,0,0.2
177,"grand-père","word","people",0,0,0,0,0.02,0,0,0
178,"maître/sse","word","people",0,0,0,0,0,0,0,0
179,"maman","word","people",0.11,0,0.14,0.23,0.35,0.62,0.5,0.8
180,"nom de l'enfant","word","people",0,0,0,0,0.03,0.04,0,0
181,"nom de la nounou","word","people",0,0,0.07,0.04,0.01,0.08,0,0
182,"nounou","word","people",0,0,0,0,0.02,0,0,0
183,"oncle","word","people",0,0,0,0,0,0,0,0
184,"papa","word","people",0.13,0,0.14,0.19,0.35,0.62,0.5,0.6
185,"personne","word","people",0,0,0,0,0,0,0,0
186,"sœur","word","people",0,0,0,0,0.01,0,0,0
187,"tante","word","people",0.02,0,0,0.04,0.09,0.08,0.5,0.2
188,"basket","word","clothing",0,0,0,0,0,0,0,0
189,"bavoir/bavette","word","clothing",0,0,0,0,0.01,0,0,0
190,"body","word","clothing",0,0,0,0,0,0,0,0
191,"bottes","word","clothing",0,0,0,0,0,0,0,0
192,"boutons","word","clothing",0,0,0,0,0,0,0,0
193,"ceinture","word","clothing",0,0,0,0,0,0,0,0
194,"chapeau","word","clothing",0,0,0,0,0,0,0,0
195,"chaussettes","word","clothing",0,0,0.04,0,0.02,0.04,0,0.2
196,"chausson/pantoufle","word","clothing",0,0,0,0,0.01,0,0,0.2
197,"chaussure","word","clothing",0,0,0,0,0.05,0,0,0.2
198,"chemise","word","clothing",0,0,0,0,0,0,0,0
199,"collants","word","clothing",0,0,0,0,0,0,0,0
200,"collier","word","clothing",0,0,0,0,0,0,0,0
201,"combinaison de ski","word","clothing",0,0,0,0,0,0,0,0
202,"couche","word","clothing",0,0,0.04,0,0.01,0,0,0.2
203,"culotte/slip","word","clothing",0,0,0,0,0,0,0,0
204,"écharpe","word","clothing",0,0,0,0,0,0,0,0
205,"gants","word","clothing",0,0,0,0,0,0,0,0
206,"grenouillère","word","clothing",0,0,0,0,0,0,0,0
207,"jeans","word","clothing",0,0,0,0,0,0,0,0
208,"manteau","word","clothing",0,0,0,0,0.01,0,0,0.2
209,"moufles","word","clothing",0,0,0,0,0,0,0,0
210,"pantalon","word","clothing",0,0,0,0,0.01,0,0,0
211,"perles","word","clothing",0,0,0,0,0,0,0,0
212,"pull","word","clothing",0,0,0,0,0,0,0,0
213,"pyjama","word","clothing",0,0,0,0,0.02,0,0,0
214,"robe","word","clothing",0,0,0,0,0,0,0,0
215,"salopette","word","clothing",0,0,0,0,0,0,0,0
216,"short","word","clothing",0,0,0,0,0,0,0,0
217,"sweat","word","clothing",0,0,0,0,0,0,0,0
218,"tee-shirt","word","clothing",0,0,0,0,0.01,0,0,0
219,"veste","word","clothing",0,0,0,0,0,0,0,0
220,"argent","word","household",0,0,0,0,0,0,0,0
221,"aspirateur","word","household",0,0,0,0,0.01,0,0,0
222,"assiette","word","household",0,0,0,0,0,0,0,0
223,"balai","word","household",0,0,0,0,0,0,0,0
224,"biberon","word","household",0,0,0,0,0.02,0.04,0,0
225,"boîte","word","household",0,0,0,0,0,0,0,0
226,"bol","word","household",0,0,0,0,0,0,0,0
227,"bouteille","word","household",0,0,0,0,0,0,0,0
228,"brosse","word","household",0,0,0,0,0.01,0,0,0
229,"brosse à dent","word","household",0,0,0,0,0,0,0,0
230,"ciseaux","word","household",0,0,0,0,0,0,0,0
231,"clefs","word","household",0,0,0,0,0.02,0,0,0
232,"couverture","word","household",0,0,0,0,0,0,0,0
233,"cuillère","word","household",0,0,0,0,0.02,0,0,0
234,"dent","word","household",0,0,0,0,0,0,0,0
235,"feuille","word","household",0,0,0,0,0,0,0,0
236,"fourchette","word","household",0,0,0,0,0,0,0,0
237,"horloge","word","household",0,0,0,0,0,0,0,0
238,"lampe","word","household",0,0,0,0,0,0,0,0
239,"lumière","word","household",0,0,0,0,0.01,0,0,0
240,"lunettes","word","household",0,0,0,0,0,0,0,0
241,"marteau","word","household",0,0,0,0,0,0,0,0
242,"médicaments","word","household",0,0,0,0.04,0.01,0,0,0.2
243,"montre","word","household",0,0,0,0,0,0,0,0
244,"musique","word","household",0,0,0,0,0.01,0,0,0
245,"oreiller","word","household",0,0,0,0,0,0,0,0
246,"papier","word","household",0,0,0,0,0,0,0,0
247,"peigne","word","household",0,0,0,0,0,0,0,0
248,"photo","word","household",0,0,0,0,0,0,0,0
249,"plante","word","household",0,0,0,0,0,0,0,0
250,"plat","word","household",0,0,0,0,0,0,0,0
251,"porte-monnaie","word","household",0,0,0,0,0,0,0,0
252,"poubelle","word","household",0,0,0,0,0,0,0,0
253,"radio","word","household",0,0,0,0,0,0,0,0
254,"savon","word","household",0,0,0,0,0.02,0,0,0.2
255,"serviette","word","household",0,0,0,0,0,0,0,0
256,"sirop","word","household",0,0,0,0,0,0,0,0
257,"sous/pièces","word","household",0,0,0,0,0,0,0,0
258,"sucette","word","household",0.02,0,0,0,0.01,0,0,0
259,"tasse","word","household",0,0,0,0,0,0,0,0
260,"télécommande","word","household",0,0,0,0,0,0,0,0
261,"téléphone","word","household",0,0,0,0,0,0,0,0
262,"verre","word","household",0,0,0,0,0,0,0,0
263,"baignoire","word","furniture_rooms",0,0,0,0,0,0,0,0
264,"berceau","word","furniture_rooms",0,0,0,0,0,0,0,0
265,"canapé","word","furniture_rooms",0,0,0,0,0,0,0,0
266,"chaise","word","furniture_rooms",0,0,0,0,0,0,0,0
267,"chaise haute","word","furniture_rooms",0,0,0,0,0,0,0,0
268,"chambre","word","furniture_rooms",0,0,0,0,0,0,0,0
269,"cuisinière","word","furniture_rooms",0,0,0,0,0,0,0,0
270,"escalier","word","furniture_rooms",0,0,0,0,0.02,0.04,0,0
271,"évier","word","furniture_rooms",0,0,0,0,0,0,0,0
272,"fauteuil","word","furniture_rooms",0,0,0,0,0,0,0,0
273,"fenêtre","word","furniture_rooms",0,0,0,0,0,0,0,0
274,"four","word","furniture_rooms",0,0,0,0,0,0,0,0
275,"frigo","word","furniture_rooms",0,0,0,0,0,0,0,0
276,"garage","word","furniture_rooms",0,0,0,0,0,0,0,0
277,"lavabo","word","furniture_rooms",0,0,0,0,0,0,0,0
278,"lit","word","furniture_rooms",0,0,0,0,0,0,0,0
279,"parc","word","furniture_rooms",0,0,0,0,0.01,0,0,0
280,"porte","word","furniture_rooms",0,0,0,0,0.01,0.04,0,0
281,"pot","word","furniture_rooms",0,0,0,0,0,0,0,0
282,"salle de bain","word","furniture_rooms",0,0,0,0,0.01,0,0,0
283,"salon","word","furniture_rooms",0,0,0,0,0,0,0,0
284,"table","word","furniture_rooms",0,0,0,0,0.01,0,0,0
285,"télé","word","furniture_rooms",0,0,0,0,0,0,0,0
286,"tiroir","word","furniture_rooms",0,0,0,0,0,0,0,0
287,"arbre","word","outside_places",0,0,0,0,0,0,0,0
288,"balançoire","word","outside_places",0,0,0,0,0,0,0,0
289,"caillou","word","outside_places",0,0,0,0,0,0,0,0.2
